game,cause
885,forced_CAST_activate_failed
886,field_oppo_life
887,ability_logged
888,forced_CAST_not_playable
889,ability_logged
890,field_oppo_hand
891,hidden_choice
892,field_oppo_hand
893,field_user_hand
894,ability_logged
895,field_user_life
896,forced_CAST_activate_failed
897,hidden_choice
898,hidden_choice
899,field_user_creatures
900,field_oppo_life
901,ability_logged
902,ability_logged
903,forced_DRAW_not_in_library_graveyard
904,forced_BLOCK_no_blocker
905,field_oppo_life
906,forced_LAND_not_in_hand
907,forced_CAST_not_playable
908,hidden_choice
909,hidden_choice
910,forced_DRAW_not_in_library_graveyard
911,field_oppo_life
912,forced_DRAW_not_in_library_graveyard
913,forced_BLOCK_no_blocker
914,field_user_life
915,ability_logged
916,forced_BLOCK_no_blocker
917,field_user_creatures
918,forced_DRAW_not_in_library_hand
919,hidden_choice
920,hidden_choice
921,forced_CAST_activate_failed
922,forced_LAND_not_in_hand
923,forced_BLOCK_no_blocker
924,forced_CAST_not_playable
925,forced_BLOCK_no_blocker
926,forced_SWAP_not_in_library_missing
927,forced_CAST_not_playable
928,ability_logged
929,field_user_creatures
930,ability_logged
931,field_user_life
932,field_oppo_life
933,ability_logged
934,forced_DRAW_not_in_library_graveyard
935,hidden_choice
936,hidden_choice
937,ability_logged
938,forced_ATTACK_no_attacker_absent
939,field_oppo_hand
940,field_oppo_life
941,ability_logged
942,field_user_life
943,ability_logged
944,ability_logged
945,forced_ATTACK_no_attacker_sick_or_cannot
946,ability_logged
947,hidden_choice
948,forced_DRAW_not_in_library_graveyard
949,field_user_hand
950,forced_SWAP_not_in_library_graveyard
951,ability_logged
952,ability_logged
953,ability_logged
954,ability_logged
955,forced_DRAW_not_in_library_graveyard
956,ability_logged
957,ability_logged
958,hidden_choice
959,field_user_hand
960,field_user_hand
961,forced_CAST_not_playable
962,ability_logged
963,hidden_choice
964,ability_logged
965,ability_logged
966,field_user_hand
967,ability_logged
968,ability_logged
969,forced_CAST_activate_failed
970,hidden_choice
971,field_user_hand
972,forced_CAST_not_in_hand
973,field_oppo_hand
974,forced_CAST_activate_failed
975,field_user_life
976,ability_logged
977,forced_LAND_not_in_hand
978,hidden_choice
979,ability_logged
980,forced_LAND_not_in_hand
981,hidden_choice
982,ability_logged
983,forced_CAST_not_playable
984,ability_logged
985,hidden_choice
986,field_oppo_life
987,field_user_creatures
988,field_oppo_life
989,forced_CAST_not_playable
990,field_oppo_life
991,field_oppo_hand
992,hidden_choice
993,field_user_creatures
994,forced_BLOCK_no_blocker
995,forced_CAST_not_playable
996,forced_DRAW_not_in_library_graveyard
997,field_oppo_hand
998,forced_ATTACK_no_attacker_absent
999,field_user_life
1000,ability_logged
1001,field_oppo_life
1002,ability_logged
1003,field_user_creatures
1004,ability_logged
1005,field_user_hand
1006,field_user_creatures
1007,forced_ATTACK_no_attacker_sick_or_cannot
1008,forced_LAND_not_in_hand
1009,hidden_choice
1010,field_user_hand
1011,forced_BLOCK_no_blocker
1012,forced_DRAW_not_in_library_graveyard
1013,field_user_creatures
1014,hidden_choice
1015,forced_LAND_not_in_hand
1016,field_user_hand
1017,forced_CAST_not_playable
1018,forced_CAST_activate_failed
1019,forced_SWAP_not_in_library_graveyard
1020,forced_CAST_not_playable
1021,field_user_hand
1022,forced_LAND_not_in_hand
1023,field_user_creatures
1024,forced_BLOCK_no_blocker
1025,forced_BLOCK_no_blocker
1026,ability_logged
1027,field_user_life
1028,hidden_choice
1029,ability_logged
1030,field_oppo_life
1031,forced_LAND_not_in_hand
1032,field_user_life
1033,field_user_noncreatures
1034,field_user_creatures
1035,field_user_creatures
1036,forced_CAST_not_playable
1037,field_user_creatures
1038,hidden_choice
1039,ability_logged
1040,forced_CAST_activate_failed
1041,forced_DRAW_not_in_library_graveyard
1042,ability_logged
1043,forced_DRAW_not_in_library_graveyard
1044,forced_LAND_not_in_hand
1045,forced_SWAP_not_in_library_missing
1046,ability_logged
1047,ability_logged
1048,ability_logged
1049,forced_CAST_not_playable
1050,forced_ATTACK_no_attacker_absent
1051,forced_SWAP_not_in_library_graveyard
1052,field_user_creatures
1053,field_user_life
1054,ability_logged
1055,hidden_choice
1056,hidden_choice
1057,forced_CAST_activate_failed
1058,hidden_choice
1059,forced_CAST_not_in_hand
1060,forced_DRAW_not_in_library_graveyard
1061,forced_CAST_not_playable
1062,ability_logged
1063,forced_DRAW_not_in_library_graveyard
1064,forced_BLOCK_no_blocker
1065,field_oppo_life
1066,forced_CAST_not_playable
1067,forced_SWAP_not_in_library_missing
1068,hidden_choice
1069,hidden_choice
1070,field_user_hand
1071,forced_SWAP_not_in_library_graveyard
1072,ability_logged
1073,field_oppo_life
1074,field_oppo_hand
1075,ability_logged
1076,forced_CAST_not_in_hand
1077,forced_CAST_not_playable
1078,field_user_life
