game,user_deck_covered,opp_logged_covered,both_covered,deck_distinct,deck_cards,user_missing,opp_missing
801,1,1,1,23,40,,
802,1,1,1,21,40,,
803,1,1,1,24,40,,
804,1,1,1,22,40,,
805,1,1,1,18,40,,
806,1,1,1,25,40,,
807,1,1,1,23,40,,
808,1,1,1,24,40,,
809,1,1,1,23,40,,
810,1,1,1,20,40,,
811,1,1,1,29,40,,
812,1,1,1,21,44,,
813,1,1,1,19,41,,
814,1,1,1,20,40,,
815,1,1,1,27,40,,
816,1,1,1,22,40,,
817,1,1,1,23,40,,
818,1,1,1,20,40,,
819,1,1,1,22,40,,
820,1,1,1,25,40,,
821,1,1,1,23,40,,
822,1,1,1,22,40,,
823,1,1,1,24,40,,
824,1,1,1,17,40,,
825,1,1,1,20,40,,
826,1,1,1,23,40,,
827,1,1,1,27,40,,
828,1,1,1,23,41,,
829,1,1,1,22,40,,
830,1,1,1,22,40,,
831,1,1,1,24,40,,
832,1,1,1,22,40,,
833,1,1,1,23,40,,
834,1,1,1,23,40,,
835,1,1,1,27,40,,
836,1,1,1,21,40,,
837,1,1,1,20,40,,
838,1,1,1,20,40,,
839,1,1,1,21,40,,
840,1,1,1,20,40,,
841,1,1,1,25,40,,
842,1,1,1,21,40,,
843,1,1,1,25,40,,
844,1,1,1,24,40,,
845,1,1,1,23,40,,
846,1,1,1,21,40,,
847,1,1,1,22,40,,
848,1,1,1,26,40,,
849,1,1,1,22,40,,
850,1,1,1,24,40,,
851,1,1,1,23,40,,
852,1,1,1,21,40,,
853,1,1,1,21,40,,
854,1,1,1,25,40,,
855,1,1,1,23,40,,
856,1,1,1,22,40,,
857,1,1,1,17,40,,
858,1,1,1,23,40,,
859,1,1,1,19,40,,
860,1,1,1,25,40,,
861,1,1,1,25,40,,
862,1,1,1,25,40,,
863,1,1,1,28,40,,
864,1,1,1,26,40,,
865,1,1,1,24,40,,
866,1,1,1,20,40,,
867,1,1,1,20,40,,
868,1,1,1,18,40,,
869,1,1,1,19,40,,
870,1,1,1,21,40,,
871,1,1,1,23,40,,
872,1,1,1,23,41,,
873,1,1,1,23,40,,
874,1,1,1,25,40,,
875,1,1,1,23,40,,
876,1,1,1,29,40,,
877,1,1,1,23,40,,
878,1,1,1,24,41,,
879,1,1,1,27,40,,
880,1,1,1,18,40,,
881,1,1,1,22,40,,
882,1,1,1,22,40,,
883,1,1,1,20,40,,
884,1,1,1,22,40,,
885,1,1,1,26,40,,
886,1,1,1,19,40,,
887,1,1,1,21,40,,
888,1,1,1,22,40,,
889,1,1,1,22,41,,
890,1,1,1,21,40,,
891,1,1,1,28,40,,
892,1,1,1,28,40,,
893,1,1,1,28,40,,
894,1,1,1,24,40,,
895,1,1,1,19,40,,
896,1,1,1,25,40,,
897,1,1,1,20,40,,
898,1,1,1,29,40,,
899,1,1,1,21,41,,
900,1,1,1,21,40,,
901,1,1,1,29,40,,
902,1,1,1,23,40,,
903,1,1,1,21,40,,
904,1,1,1,23,40,,
905,1,1,1,22,40,,
906,1,1,1,20,40,,
907,1,1,1,26,40,,
908,1,1,1,24,40,,
909,1,1,1,20,40,,
910,1,1,1,29,40,,
911,1,1,1,23,40,,
912,1,1,1,24,40,,
913,1,1,1,23,40,,
914,1,1,1,21,40,,
915,1,1,1,22,40,,
916,1,1,1,21,40,,
917,1,1,1,27,40,,
918,1,1,1,20,40,,
919,1,1,1,21,40,,
920,1,1,1,24,40,,
921,1,1,1,25,40,,
922,1,1,1,22,40,,
923,1,1,1,21,40,,
924,1,1,1,23,40,,
925,1,1,1,27,40,,
926,1,1,1,23,40,,
927,1,1,1,26,40,,
928,1,1,1,23,40,,
929,1,1,1,21,40,,
930,1,1,1,24,40,,
931,1,1,1,23,41,,
932,1,1,1,20,40,,
933,1,1,1,18,40,,
934,1,1,1,20,40,,
935,1,1,1,30,40,,
936,1,1,1,27,40,,
937,1,1,1,18,40,,
938,1,1,1,19,40,,
939,1,1,1,24,40,,
940,1,1,1,22,40,,
941,1,1,1,26,40,,
942,1,1,1,21,40,,
943,1,1,1,27,40,,
944,1,1,1,27,40,,
945,1,1,1,23,40,,
946,1,1,1,25,40,,
947,1,1,1,23,40,,
948,1,1,1,28,40,,
949,1,1,1,25,40,,
950,1,1,1,15,40,,
951,1,1,1,19,40,,
952,1,1,1,24,40,,
953,1,1,1,23,40,,
954,1,1,1,24,40,,
955,1,1,1,23,40,,
956,1,1,1,22,40,,
957,1,1,1,28,41,,
958,1,1,1,22,40,,
959,1,1,1,20,40,,
960,1,1,1,25,40,,
961,1,1,1,20,40,,
962,1,1,1,26,41,,
963,1,1,1,26,40,,
964,1,1,1,19,40,,
965,1,1,1,23,40,,
966,1,1,1,29,40,,
967,1,1,1,19,40,,
968,1,1,1,27,41,,
969,1,1,1,29,40,,
970,1,1,1,24,40,,
971,1,1,1,23,40,,
972,1,1,1,21,40,,
973,1,1,1,20,40,,
974,1,1,1,23,42,,
975,1,1,1,18,40,,
976,1,1,1,27,40,,
977,1,1,1,28,40,,
978,1,1,1,20,40,,
979,1,1,1,22,40,,
980,1,1,1,23,40,,
981,1,1,1,22,40,,
